diagnosis,accuracy,balanced_accuracy,macro_f1,deployment_status
Skeletal Class,0.825,0.7921,0.7937,Primary
Overjet,0.765,0.7677,0.7723,Primary
Skeletal Mandible,0.7475,0.7498,0.7515,Primary
Upper Lip Position,0.745,0.7272,0.7379,Primary
Dental Relationship,0.66,0.6527,0.6552,Supportive
Lower Incisor Inclination,0.7425,0.6409,0.6501,Supportive
Upper Incisal Display,0.635,0.6071,0.6177,Supportive
Interincisal Angle,0.69,0.6079,0.6154,Supportive
Profile Class,0.755,0.5499,0.5859,Supportive
Upper Incisor Inclination,0.6025,0.5656,0.5814,Supportive
Overbite,0.68,0.5348,0.565,Supportive
Lower Lip Position,0.7725,0.5322,0.5388,Exclude
Skeletal Maxilla,0.905,0.4189,0.452,Exclude
